churned,account_length,area_code,intl_plan,number_customer_service_calls,number_vmail_messages,phone_number,state,total_day_calls,total_day_charge,total_day_minutes,total_eve_calls,total_eve_charge,total_eve_minutes,total_intl_calls,total_intl_charge,total_intl_minutes,total_night_calls,total_night_charge,voice_mail_plan,total_night_minutes,_dmIndex_,_PartInd_,M_FILTER
0,168,408,no,1,0,363-1107,IA,96,21.9,128.8,71,8.92,104.9,2,3.02,11.2,128,6.35,no,141.1,1000013,0,0
0,95,510,no,3,0,394-8006,MT,88,26.62,156.6,75,21.05,247.6,5,3.32,12.3,115,8.65,no,192.3,1000014,1,0
0,62,415,no,4,0,366-9238,IA,70,20.52,120.7,76,26.11,307.2,6,3.54,13.1,99,9.14,no,203,1000015,0,0
1,161,415,no,4,0,351-7269,NY,67,56.59,332.9,97,27.01,317.8,9,1.46,5.4,128,7.23,no,160.6,1000016,1,0
0,85,408,no,1,27,350-8884,ID,139,33.39,196.4,90,23.88,280.9,4,3.73,13.8,75,4.02,yes,89.3,1000017,1,0
0,93,510,no,3,0,386-2923,VT,114,32.42,190.7,111,18.55,218.2,3,2.19,8.1,121,5.83,no,129.6,1000018,1,0
0,76,510,no,1,33,356-2992,VA,66,32.25,189.7,65,18.09,212.8,5,2.7,10,108,7.46,yes,165.7,1000019,1,0
0,73,415,no,1,0,373-2782,TX,90,38.15,224.4,88,13.56,159.5,2,3.51,13,74,8.68,no,192.8,1000020,0,0
0,147,415,no,0,0,396-5800,FL,117,26.37,155.1,93,20.37,239.7,4,2.86,10.6,133,9.4,no,208.8,1000021,1,0
1,77,408,no,5,0,393-7984,CO,89,10.61,62.4,121,14.44,169.9,6,1.54,5.7,64,9.43,no,209.6,1000022,0,0
0,130,415,no,0,0,358-1958,AZ,112,31.11,183,99,6.2,72.9,19,2.57,9.5,78,8.18,no,181.8,1000023,0,0
0,111,415,no,2,0,350-2565,SC,103,18.77,110.4,102,11.67,137.3,6,2.08,7.7,105,8.53,no,189.6,1000024,0,0
0,132,510,no,0,0,343-4696,VA,86,13.79,81.1,72,20.84,245.2,2,2.78,10.3,115,10.67,no,237,1000025,0,0
0,174,415,no,3,0,331-3698,NE,76,21.13,124.3,112,23.55,277.1,5,4.19,15.5,115,11.28,no,250.7,1000026,1,0
0,57,408,no,0,39,357-3817,WY,115,36.21,213,112,16.24,191.1,3,2.57,9.5,115,8.22,yes,182.7,1000027,0,0
0,54,408,no,3,0,418-6412,MT,73,22.83,134.3,100,13.22,155.5,4,3.97,14.7,68,4.59,no,102.1,1000028,2,0
0,20,415,no,0,0,353-2630,MO,109,32.3,190,84,21.95,258.2,6,1.7,6.3,102,8.17,no,181.5,1000029,2,0
0,49,510,no,1,0,410-7789,HI,117,20.28,119.3,109,18.28,215.1,1,3,11.1,90,8.04,no,178.7,1000030,1,0
0,142,415,no,2,0,416-8428,IL,95,14.42,84.8,63,11.62,136.7,6,3.83,14.2,148,11.27,no,250.5,1000031,1,0
0,75,510,no,1,0,370-3359,NH,105,38.44,226.1,107,17.13,201.5,5,2.78,10.3,98,11.08,no,246.2,1000032,0,0
0,172,408,no,3,0,383-1121,LA,121,36.04,212,115,2.65,31.2,10,3.4,12.6,78,13.2,no,293.3,1000033,1,0
1,12,408,no,1,0,360-1596,AZ,118,42.43,249.6,119,21.45,252.4,3,3.19,11.8,90,12.61,no,280.2,1000034,1,0
0,57,408,no,0,25,395-2854,OK,94,30.06,176.8,75,16.58,195,4,2.24,8.3,116,9.61,yes,213.5,1000035,1,0
0,72,415,no,3,37,362-1407,GA,80,37.4,220,102,18.47,217.3,6,3.97,14.7,71,6.88,yes,152.8,1000036,0,0
0,36,408,no,0,30,341-9764,AK,128,24.87,146.3,80,13.81,162.5,6,3.92,14.5,109,5.82,yes,129.3,1000037,0,0
0,78,415,no,1,0,353-3305,MA,64,22.24,130.8,116,19.01,223.7,5,2.7,10,108,10.25,no,227.8,1000038,1,0
0,136,415,yes,3,33,402-1381,AK,106,34.66,203.9,99,15.95,187.6,6,2.84,10.5,107,4.58,yes,101.7,1000039,1,0
0,149,408,no,1,0,332-9891,NJ,94,23.87,140.4,92,23.1,271.8,9,3,11.1,108,8.47,no,188.3,1000040,0,0
0,98,408,no,3,0,372-9976,GA,102,21.47,126.3,85,14.18,166.8,2,2.54,9.4,135,8.45,no,187.8,1000041,0,0
1,135,408,yes,0,41,383-6029,MD,85,29.43,173.1,107,17.33,203.9,15,3.94,14.6,78,5.5,yes,122.2,1000042,1,0
0,34,510,no,2,0,353-7289,AR,82,21.22,124.8,98,23.99,282.2,4,2.7,10,78,14.02,no,311.5,1000043,0,0
0,160,415,no,3,0,390-7274,ID,77,14.59,85.8,110,14.05,165.3,4,2.48,9.2,92,8.03,no,178.5,1000044,0,0
0,64,510,no,1,0,352-1237,WI,67,26.18,154,118,19.19,225.8,3,0.95,3.5,86,11.94,no,265.3,1000045,1,0
0,59,408,no,2,28,353-3061,OR,97,20.55,120.9,92,18.11,213,5,2.3,8.5,116,7.34,yes,163.1,1000046,0,0
0,65,415,no,3,0,363-5450,MI,120,35.92,211.3,122,13.82,162.6,5,3.56,13.2,118,6.06,no,134.7,1000047,1,0
0,142,408,no,2,0,364-1995,DE,133,31.79,187,74,11.44,134.6,5,2,7.4,127,10.9,no,242.2,1000048,1,0
1,119,415,no,5,0,398-1294,ID,114,27.05,159.1,117,19.66,231.3,3,2.38,8.8,91,6.44,no,143.2,1000049,1,0
0,97,415,no,1,24,405-7146,WY,135,22.64,133.2,58,18.46,217.2,3,2.97,11,79,3.18,yes,70.6,1000050,1,0
0,52,408,no,3,0,413-4957,IA,108,32.62,191.9,96,22.93,269.8,5,2.11,7.8,87,10.66,no,236.8,1000051,0,0
0,60,408,no,1,0,420-5645,IN,57,37.5,220.6,115,17.94,211.1,3,1.84,6.8,129,11.21,no,249,1000052,0,0
0,10,408,no,2,0,349-4396,VA,112,31.64,186.1,66,16.17,190.2,6,3.08,11.4,57,12.73,no,282.8,1000053,0,0
0,96,415,no,2,0,404-3211,UT,117,27.23,160.2,67,22.74,267.5,5,2.51,9.3,68,10.28,no,228.5,1000054,1,0
1,87,415,no,5,0,353-3759,WY,83,25.67,151,116,18.67,219.7,3,2.62,9.7,127,9.18,no,203.9,1000055,0,0
0,81,408,no,1,0,363-5947,IN,67,29.84,175.5,85,21.19,249.3,3,2.75,10.2,98,12.16,no,270.2,1000056,0,0
0,141,415,no,1,0,340-5121,CO,98,21.57,126.9,62,15.3,180,2,2.16,8,128,6.34,no,140.8,1000057,1,0
1,121,408,no,3,30,370-7574,CO,129,33.73,198.4,77,6.4,75.3,3,1.57,5.8,77,8.15,yes,181.2,1000058,2,0
0,68,415,no,3,0,403-9733,WI,70,25.3,148.8,164,20.95,246.5,3,3.27,12.1,103,5.84,no,129.8,1000059,1,0
0,125,408,no,1,0,355-7251,OK,103,38.98,229.3,126,15.08,177.4,8,3.24,12,95,8.52,no,189.3,1000060,1,0
0,174,408,no,1,0,359-5893,ID,97,32.66,192.1,94,14.44,169.9,4,3.08,11.4,54,7.5,no,166.6,1000061,1,0
0,116,415,no,2,34,405-3371,CA,83,45.66,268.6,142,15.15,178.2,3,3.13,11.6,106,7.48,yes,166.3,1000062,1,0
0,74,510,no,2,33,344-5117,MN,91,32.93,193.7,96,20.92,246.1,3,3.94,14.6,92,6.21,yes,138,1000063,1,0
0,149,408,no,3,28,332-8160,SD,92,30.72,180.7,64,15.96,187.8,3,3.4,12.6,53,11.95,yes,265.5,1000064,1,0
0,38,408,no,2,0,359-4081,NC,98,22.3,131.2,97,13.85,162.9,6,2.21,8.2,106,7.15,no,159,1000065,0,0
0,40,415,no,2,41,352-8305,WA,74,25.18,148.1,88,14.41,169.5,5,1.67,6.2,102,9.63,yes,214.1,1000066,1,0
0,43,415,yes,0,0,329-9847,WY,105,42.76,251.5,104,18.09,212.8,4,2.51,9.3,67,7.1,no,157.8,1000067,1,0
0,113,408,yes,0,0,365-9011,MN,93,21.28,125.2,119,17.54,206.4,8,2.24,8.3,139,5.82,no,129.3,1000068,0,0
0,126,408,no,1,0,338-9472,UT,70,35.97,211.6,80,18.44,216.9,1,2.11,7.8,60,6.91,no,153.5,1000069,1,0
1,150,510,no,4,0,374-8042,TX,101,30.41,178.9,110,14.37,169.1,3,3.73,13.8,100,6.69,no,148.6,1000070,0,0
0,138,408,no,3,0,359-1231,NJ,93,41.11,241.8,83,14.49,170.5,7,3.19,11.8,104,13.29,no,295.3,1000071,2,0
0,162,510,no,0,46,413-7170,MN,97,38.23,224.9,84,16,188.2,2,3.27,12.1,61,11.46,yes,254.6,1000072,0,0
0,147,510,no,3,0,415-2935,NM,83,42.26,248.6,85,12.66,148.9,4,2.16,8,109,7.76,no,172.5,1000073,0,0
0,90,415,no,1,0,399-4246,NV,146,34.58,203.4,117,19.27,226.7,4,1.97,7.3,105,6.86,no,152.4,1000074,2,0
0,85,415,no,0,0,362-5889,HI,109,40.09,235.8,94,13.36,157.2,3,3.24,12,99,8.47,no,188.2,1000075,1,0
0,50,415,no,1,0,350-8921,MN,90,26.71,157.1,72,18.98,223.3,2,1.65,6.1,111,8.16,no,181.4,1000076,0,0
1,82,415,no,0,0,374-5353,DC,109,51.05,300.3,100,15.39,181,4,3.16,11.7,73,12.15,no,270.1,1000077,2,0
1,144,408,no,4,0,360-1171,NY,117,10.47,61.6,85,6.55,77.1,7,2.21,8.2,99,7.79,no,173,1000078,0,0
0,46,415,no,2,0,355-8887,MN,72,36.4,214.1,104,13.97,164.4,3,2.21,8.2,113,7.99,no,177.5,1000079,1,0
0,70,408,no,1,0,333-1967,MD,98,28.93,170.2,102,13.19,155.2,2,4.05,15,76,10.29,no,228.6,1000080,1,0
0,144,415,no,1,0,354-4577,WV,99,34.19,201.1,74,25.8,303.5,2,3.56,13.2,119,10.08,no,224,1000081,0,0
0,116,415,yes,3,0,331-7425,OR,104,36.62,215.4,79,17.41,204.8,5,3.4,12.6,109,12.53,no,278.5,1000082,0,0
0,55,408,no,3,25,419-2637,CO,123,28.15,165.6,95,11.57,136.1,2,2.97,11,90,7.91,yes,175.7,1000083,1,0
0,70,415,no,1,24,411-1530,GA,101,42.42,249.5,98,22.07,259.7,4,2.65,9.8,68,10.02,yes,222.7,1000084,2,0
1,106,510,no,2,0,395-3026,TX,96,35.8,210.6,85,21.18,249.2,1,3.35,12.4,88,8.61,no,191.4,1000085,1,0
0,128,510,no,0,29,388-6441,VT,104,30.48,179.3,86,19.2,225.9,7,2.32,8.6,78,14.54,yes,323,1000086,0,0
1,94,408,no,4,0,402-1251,IN,105,26.84,157.9,101,13.18,155,5,2.16,8,84,8.53,no,189.6,1000087,2,0
0,111,510,no,1,0,412-9997,WV,118,36.43,214.3,76,17.72,208.5,2,3.24,12,98,8.21,no,182.4,1000088,0,0
0,74,415,no,2,35,346-7302,KY,104,26.2,154.1,84,10.49,123.4,9,2.94,10.9,57,9.09,yes,202.1,1000089,1,0
1,128,415,no,1,0,358-9095,NJ,125,40.44,237.9,93,21.05,247.6,4,3.75,13.9,68,9.4,no,208.9,1000090,1,0
0,82,510,no,1,0,400-9770,DC,61,24.46,143.9,105,16.57,194.9,2,3,11.1,94,4.93,no,109.6,1000091,2,0
1,155,415,no,0,0,334-1275,LA,100,34.58,203.4,104,16.23,190.9,4,2.4,8.9,119,8.82,no,196,1000092,1,0
0,80,415,no,1,0,340-4953,AR,100,21.13,124.3,107,14.71,173,9,2.13,7.9,62,11.39,no,253.2,1000093,1,0
0,78,415,no,3,0,400-9510,ME,93,42.99,252.9,112,15.16,178.4,7,2.57,9.5,105,11.88,no,263.9,1000094,2,0
0,90,415,no,3,0,387-6103,AZ,71,30.45,179.1,81,16.2,190.6,7,2.86,10.6,91,5.75,no,127.7,1000095,1,0
0,104,408,no,1,0,366-4467,AK,106,47.33,278.4,113,6.89,81,5,2.65,9.8,137,7.34,no,163.2,1000096,1,0
0,73,415,no,0,0,370-3450,MT,110,27.22,160.1,72,18.13,213.3,4,3.51,13,72,7.83,no,174.1,1000097,0,0
0,99,415,no,4,0,327-3954,AZ,87,33.69,198.2,76,17.62,207.3,3,2.35,8.7,113,8.59,no,190.9,1000098,1,0
1,120,408,no,1,0,355-6291,MS,131,36.06,212.1,104,17.8,209.4,5,1.43,5.3,96,7.52,no,167.2,1000099,1,0
1,77,415,no,2,0,362-9748,ID,72,42.81,251.8,126,17.48,205.7,7,2.65,9.8,109,12.38,no,275.2,1000100,1,0
0,98,510,no,4,21,379-6506,IA,114,27.4,161.2,83,21.44,252.2,8,1.19,4.4,92,7.21,yes,160.2,1000101,1,0
0,108,415,no,0,0,347-7741,MA,137,30.31,178.3,76,16.07,189,5,3.94,14.6,102,5.81,no,129.1,1000102,0,0
0,135,415,no,0,0,354-3783,VT,82,25.79,151.7,105,10.12,119,6,2.84,10.5,100,8.1,no,180,1000103,0,0
0,95,408,no,1,0,401-7594,KY,99,22.95,135,106,15.61,183.6,9,3.38,12.5,102,11.04,no,245.3,1000104,1,0
0,122,408,no,1,0,397-4976,IN,94,28.99,170.5,109,14.76,173.7,2,3.05,11.3,75,11.19,no,248.6,1000105,0,0
0,95,408,no,4,0,334-2577,AZ,65,40.48,238.1,98,15.91,187.2,4,3.19,11.8,115,8.55,no,190,1000106,1,0
0,36,510,no,2,29,400-3637,MI,102,47.84,281.4,76,17.19,202.2,6,2.43,9,113,8.42,yes,187.2,1000107,1,0
0,93,510,no,1,21,383-4361,NM,131,20.04,117.9,115,13.98,164.5,3,2.65,9.8,86,9.76,yes,217,1000108,1,0
0,141,415,no,1,32,371-4306,CO,91,25.26,148.6,97,11.14,131.1,1,2.73,10.1,142,9.87,yes,219.4,1000109,1,0
0,157,408,no,3,0,403-4298,UT,90,39.07,229.8,121,12.57,147.9,7,2.59,9.6,108,10.86,no,241.4,1000110,2,0
0,120,408,no,1,0,409-3786,MI,100,28.05,165,83,26.96,317.2,8,2.24,8.3,86,5.36,no,119.2,1000111,0,0
0,103,415,no,2,0,337-4697,MA,117,31.45,185,94,18.98,223.3,2,3.4,12.6,91,10.03,no,222.8,1000112,0,0
0,98,408,no,4,0,383-1509,AL,117,27.37,161,113,16.23,190.9,4,3.27,12.1,113,10.25,no,227.7,1000113,0,0
0,125,408,no,1,0,359-9794,DE,108,21.54,126.7,90,17.51,206,7,3.59,13.3,114,11.15,no,247.8,1000114,1,0
0,63,415,no,1,0,407-7035,AZ,125,10.01,58.9,59,14.42,169.6,3,2.54,9.4,88,9.51,no,211.4,1000115,1,0
1,36,510,yes,0,42,363-1069,ME,89,33.46,196.8,122,21.67,254.9,6,5.4,20,126,6.22,yes,138.3,1000116,2,0
0,64,510,no,1,0,391-4652,NJ,83,27.64,162.6,109,12.95,152.3,3,3.83,14.2,122,2.59,no,57.5,1000117,1,0
1,74,415,no,1,0,355-6837,NV,114,48.03,282.5,48,18.69,219.9,4,2.54,9.4,115,7.65,no,170,1000118,0,0
0,112,510,no,2,36,409-1244,MO,117,19.33,113.7,82,13.39,157.5,3,2.7,10,118,7.99,yes,177.6,1000119,1,0
0,97,408,no,2,0,328-3266,ID,125,40.77,239.8,111,18.26,214.8,5,2.35,8.7,81,6.45,no,143.3,1000120,0,0
0,46,408,no,1,0,352-7072,NE,92,35.73,210.2,77,19.32,227.3,7,3.54,13.1,116,9,no,200.1,1000121,0,0
0,41,408,no,0,22,370-7550,TX,102,36.35,213.8,86,12.05,141.8,3,1.94,7.2,123,6.4,yes,142.2,1000122,1,0
0,121,510,no,3,0,369-5526,MD,103,32.42,190.7,117,15.6,183.5,4,2.65,9.8,103,9.94,no,220.8,1000123,0,0
0,193,415,no,1,0,329-4391,MS,124,29.05,170.9,95,11.25,132.3,3,3.13,11.6,89,5.08,no,112.9,1000124,0,0
0,130,510,no,2,0,408-4195,NV,119,26.21,154.2,98,9.37,110.2,5,2.48,9.2,117,10.23,no,227.4,1000125,1,0
0,85,408,no,1,0,354-4445,AZ,52,34.24,201.4,104,19.5,229.4,3,3.24,12,106,11.36,no,252.5,1000126,1,0
1,162,415,no,4,0,335-4858,MS,108,12.02,70.7,87,13.39,157.5,3,2.46,9.1,82,6.97,no,154.8,1000127,1,0
1,61,510,no,4,27,414-8718,MS,124,31.88,187.5,103,12.46,146.6,6,1.73,6.4,129,10.16,yes,225.7,1000128,1,0
0,92,408,no,2,0,409-5939,TX,90,15.59,91.7,123,16.46,193.7,4,2.48,9.2,86,7.88,no,175,1000129,0,0
0,131,408,no,3,36,331-4902,NE,115,36.41,214.2,117,13.74,161.7,4,2.57,9.5,102,11.91,yes,264.7,1000130,1,0
0,90,415,no,3,0,353-6870,NE,92,24.74,145.5,114,18.5,217.7,2,2.94,10.9,123,6.61,no,146.9,1000131,0,0
0,75,408,no,1,0,355-2909,CA,125,28.27,166.3,86,13.45,158.2,5,1.65,6.1,80,11.55,no,256.7,1000132,0,0
0,78,415,no,1,0,390-6101,NJ,115,39.27,231,140,19.58,230.4,3,2.57,9.5,120,11.76,no,261.4,1000133,1,0
0,82,408,no,4,0,400-3446,TX,96,34.05,200.3,102,17.1,201.2,1,1.92,7.1,60,9.27,no,206.1,1000134,1,0
0,163,408,no,1,0,411-5859,AR,109,33.49,197,128,17.22,202.6,10,2.46,9.1,80,9.29,no,206.4,1000135,1,0
0,91,510,yes,3,0,387-2919,AL,112,22.08,129.9,83,14.73,173.3,3,3.02,11.2,130,11.12,no,247.2,1000136,1,0
0,75,415,no,5,21,374-8525,NY,97,29.89,175.8,106,18.49,217.5,4,1.43,5.3,134,10.69,yes,237.5,1000137,1,0
0,91,510,no,3,0,379-5592,FL,106,34.53,203.1,113,17.86,210.1,3,3.24,12,129,8.8,no,195.6,1000138,1,0
0,127,510,no,1,36,345-8237,AK,117,31.14,183.2,76,10.78,126.8,8,3.02,11.2,71,11.85,yes,263.3,1000139,0,0
0,113,415,no,2,23,422-6690,NV,101,34.85,205,60,12.92,152,5,2.75,10.2,59,7.14,yes,158.6,1000140,1,0
0,110,510,no,1,0,346-2359,DE,115,25.25,148.5,84,23.49,276.4,3,3.35,12.4,112,8.71,no,193.6,1000141,0,0
0,120,415,no,0,39,374-3534,MD,68,34.05,200.3,97,18.73,220.4,4,2.84,10.5,116,11.42,yes,253.8,1000142,0,0
0,157,415,no,3,28,381-4756,MI,107,32.74,192.6,74,16.62,195.5,5,1.84,6.8,139,4.94,yes,109.7,1000143,0,0
0,103,510,no,1,0,390-2805,VT,47,41.91,246.5,84,16.62,195.5,4,3.16,11.7,96,9.02,no,200.5,1000144,1,0
1,117,408,yes,2,0,390-2390,VT,86,28.41,167.1,87,15.09,177.5,7,3.81,14.1,132,11.22,no,249.4,1000145,0,0
0,140,415,no,3,0,419-9097,MI,101,39.42,231.9,94,13.61,160.1,6,3.86,14.3,98,4.97,no,110.4,1000146,1,0
0,127,408,no,1,0,386-7281,WA,91,24.94,146.7,78,17.3,203.5,3,3.7,13.7,110,9.15,no,203.4,1000147,0,0
0,83,408,yes,1,0,380-3561,UT,87,46.16,271.5,126,18.39,216.3,4,3.16,11.7,105,5.45,no,121.1,1000148,1,0
0,121,408,no,1,0,390-8760,LA,121,30.86,181.5,98,18.56,218.4,5,2.3,8.5,103,7.27,no,161.6,1000149,0,0
0,145,408,no,2,43,366-6730,RI,97,43.81,257.7,95,13.78,162.1,4,3,11.1,86,12.91,yes,286.9,1000150,1,0
0,113,408,no,1,0,395-5285,IA,99,32.95,193.8,125,18.82,221.4,6,2.86,10.6,67,7.75,no,172.3,1000151,1,0
0,117,415,no,1,0,354-3436,NE,119,17.48,102.8,91,17.57,206.7,7,2.73,10.1,105,13.46,no,299,1000152,1,0
0,65,408,no,1,0,336-7600,OH,116,31.94,187.9,117,13.4,157.6,6,2.03,7.5,86,10.23,no,227.3,1000153,1,0
0,56,415,no,1,0,383-6293,RI,112,38.42,226,118,21.12,248.5,11,1.86,6.9,142,6.32,no,140.5,1000154,1,0
0,96,415,no,5,0,362-4596,OK,115,44.27,260.4,46,12.41,146,4,3.11,11.5,87,12.13,no,269.5,1000155,1,0
0,151,408,no,0,0,401-3926,LA,116,30.38,178.7,138,24.83,292.1,4,2.65,9.8,101,11.97,no,265.9,1000156,0,0
1,83,415,no,0,0,370-9116,OH,120,57.36,337.4,116,19.33,227.4,7,4.27,15.8,114,6.93,no,153.9,1000157,1,0
0,139,510,no,0,23,328-6289,VA,129,26.79,157.6,96,21,247,2,3.7,13.7,112,11.66,yes,259.2,1000158,1,0
0,6,510,no,1,0,350-9994,MO,117,31.21,183.6,72,21.82,256.7,2,2.75,10.2,79,8.04,no,178.6,1000159,0,0
0,115,510,no,1,24,351-4616,FL,124,24.16,142.1,129,15.59,183.4,4,2.59,9.6,114,7.42,yes,164.8,1000160,0,0
0,87,415,no,0,0,360-5779,SC,97,23.17,136.3,108,14.64,172.2,5,1.92,7.1,101,6.19,no,137.5,1000161,0,0
0,141,415,no,0,0,417-4885,VA,110,36.91,217.1,111,20.53,241.5,6,3.24,12,103,11.41,no,253.5,1000162,0,0
0,141,510,no,3,36,406-4710,IA,99,31.88,187.5,116,20.52,241.4,5,2.84,10.5,105,10.33,yes,229.5,1000163,1,0
0,62,415,no,1,0,409-8743,MI,103,16.81,98.9,122,11.51,135.4,1,3.29,12.2,82,10.65,no,236.6,1000164,1,0
0,146,415,no,1,0,335-4584,OK,151,35.07,206.3,89,12.63,148.6,3,1.65,6.1,91,7.52,no,167.2,1000165,1,0
0,92,415,no,2,33,361-9845,DE,92,41.33,243.1,92,18.17,213.8,2,3.27,12.1,104,10.29,yes,228.7,1000166,1,0
0,185,510,no,1,31,366-5699,GA,126,32.27,189.8,133,13.88,163.3,3,2.03,7.5,126,11.92,yes,264.8,1000167,2,0
0,148,415,no,1,0,329-9364,DC,102,34.34,202,128,20.67,243.2,3,2.94,10.9,90,11.76,no,261.3,1000168,1,0
0,94,408,no,1,38,390-7434,AZ,124,28.92,170.1,116,16.43,193.3,4,3.46,12.8,73,4.77,yes,105.9,1000169,1,0
0,32,510,no,0,0,404-9680,AL,87,39.25,230.9,90,15.93,187.4,2,1.7,6.3,53,6.93,no,154,1000170,1,0
0,68,408,no,1,0,338-9398,CO,105,40.31,237.1,105,19,223.5,2,3.56,13.2,79,4.38,no,97.4,1000171,1,0
0,64,408,no,2,27,394-2445,NH,91,30.96,182.1,98,14.42,169.7,5,2.86,10.6,86,7.41,yes,164.7,1000172,1,0
0,25,415,no,3,0,381-2709,NM,87,20.28,119.3,101,17.98,211.5,4,2.84,10.5,86,12.1,no,268.9,1000173,2,0
0,65,415,no,1,0,397-5060,OR,87,19.86,116.8,93,15.21,178.9,2,3.81,14.1,150,8.21,no,182.4,1000174,2,0
0,179,408,no,0,0,415-2393,LA,92,37.26,219.2,125,12.7,149.4,5,1.65,6.1,104,11.01,no,244.7,1000175,0,0
0,94,415,no,2,0,377-1765,NE,104,42.94,252.6,125,14.37,169,7,3,11.1,106,7.69,no,170.9,1000176,1,0
0,62,415,no,0,0,409-2111,MN,91,25.01,147.1,107,16.18,190.4,3,3.29,12.2,115,8.78,no,195.2,1000177,1,0
0,127,415,no,2,0,401-3170,MI,103,34.36,202.1,86,19.5,229.4,3,3.11,11.5,113,8.78,no,195.2,1000178,1,0
0,116,408,no,3,0,405-5681,AR,93,29.5,173.5,76,16.5,194.1,10,4.37,16.2,112,9.36,no,208,1000179,1,0
0,70,408,no,3,0,411-4582,KS,122,39.46,232.1,112,24.85,292.3,0,0,0,112,9.05,no,201.2,1000180,1,0
0,94,510,yes,4,23,355-5009,WV,125,33.51,197.1,136,18.23,214.5,5,2.57,9.5,103,12.7,yes,282.2,1000181,1,0
1,126,415,no,5,0,372-3750,AK,94,9.89,58.2,118,11.79,138.7,1,3.21,11.9,91,6.16,no,136.8,1000182,2,0
0,67,408,no,2,36,405-2888,NY,111,19.65,115.6,94,20.2,237.7,12,2.67,9.9,103,7.65,yes,169.9,1000183,0,0
0,19,408,no,2,0,361-3337,NH,98,31.64,186.1,57,21.62,254.3,7,3.94,14.6,127,9.63,no,214,1000184,0,0
0,170,510,yes,3,0,350-1639,VA,68,44.18,259.9,122,20.83,245,3,2.27,8.4,121,6.05,no,134.4,1000185,0,0
0,73,415,no,1,0,333-3221,NM,145,36.43,214.3,135,22.82,268.5,13,2.92,10.8,92,10.85,no,241.2,1000186,0,0
0,106,408,no,1,0,422-1471,NY,74,26.98,158.7,139,5.47,64.3,4,2.75,10.2,103,8.93,no,198.5,1000187,0,0
0,93,415,no,2,0,399-7865,AZ,71,46.17,271.6,108,19.5,229.4,3,2.94,10.9,121,3.48,no,77.3,1000188,1,0
0,164,510,no,1,0,373-4819,WY,111,27.3,160.6,126,13.87,163.2,3,2.43,9,112,8.42,no,187.1,1000189,1,0
0,51,408,no,1,0,338-6981,WA,109,39.51,232.4,95,15.93,187.4,3,2.46,9.1,107,10.4,no,231.2,1000190,1,0
0,107,415,no,0,0,418-4365,CO,85,22.75,133.8,94,15.34,180.5,4,2.4,8.9,115,5.05,no,112.2,1000191,0,0
0,130,415,no,1,0,359-5461,TX,109,30.07,176.9,104,7.71,90.7,2,2.57,9.5,69,10.71,no,238,1000192,0,0
0,80,408,no,2,0,375-3586,KY,74,35.68,209.9,77,16.58,195.1,4,2.38,8.8,119,9.37,no,208.2,1000193,0,0
0,94,415,no,0,0,407-8376,MT,118,23.38,137.5,88,17.27,203.2,2,3.62,13.4,131,6.75,no,150,1000194,0,0
0,118,408,no,1,23,408-6496,OK,52,49.22,289.5,111,14.16,166.6,4,2.57,9.5,88,5.36,yes,119.1,1000195,1,0
0,117,415,no,1,23,385-7688,MD,86,33.68,198.1,86,15.05,177,6,1.84,6.8,92,8.12,yes,180.5,1000196,1,0
